Sakaka,Hail,Madinah,Riyad,Jeddah,Albaha,Abha,Jazan,Najran,Dammam,Tabuk
4.8619,5.1751,5.5286,5.0854,5.7722,5.3621,3.8645,3.1154,2.6412,5.0402,5.1751
4.9855,5.3522,5.8687,5.2654,5.8414,5.2111,4.7242,5.1898,5.8846,4.4998,5.3522
3.7625,4.6642,5.4432,5.4785,4.8814,4.6282,4.7258,5.4257,6.019,4.4779,4.6642
4.645,5.5555,4.47,5.5337,4.3783,4.8374,5.3856,5.6746,6.0662,4.7532,5.5555
4.5245,4.9742,5.0126,5.0316,4.2178,4.1659,4.6404,5.8795,5.8658,4.4095,4.9742
4.6054,4.5031,5.3738,5.7456,5.5469,5.5639,4.9222,5.868,6.3924,4.5542,4.5031
4.7261,4.999,5.5918,5.5207,5.604,5.7235,6.335,6.0701,6.5244,4.8218,4.999
4.3709,5.1098,5.6167,5.7362,5.7034,6.2275,6.4855,5.9386,6.5786,4.9284,5.1098
4.6519,5.3813,5.9179,5.8944,5.8337,6.4265,6.4344,6.0794,6.6314,5.0021,5.3813
4.7287,5.4737,5.8985,5.9098,5.8546,6.1646,6.2582,5.9654,6.768,4.9942,5.4737
4.805,5.5874,5.8812,6.0185,5.8853,6.085,6.2681,6.3689,6.8246,4.8725,5.5874
5.5406,5.8046,5.9921,6.0226,6.1454,6.2918,6.4685,6.4404,6.864,4.9008,5.8046
5.6539,5.8906,6.0617,6.0499,6.1502,6.5256,6.7123,6.1802,6.9804,5.0114,5.8906
3.8794,5.1569,6.143,6.1126,6.2086,6.5801,6.8633,6.4584,6.9295,5.2277,5.1569
4.0786,5.4883,6.0958,6.0641,6.0562,6.5587,6.907,6.6211,6.9667,4.8046,5.4883
3.2904,5.3398,6.0881,5.9405,6.397,6.6254,6.9682,6.6823,6.917,3.306,5.3398
4.0956,5.3453,6.0917,5.9165,6.3156,6.7358,6.8664,6.2873,6.8652,4.4532,5.3453
3.7027,4.9865,6.144,5.7518,6.1478,6.6655,6.4447,6.024,6.3823,3.6343,4.9865
4.5499,5.8382,5.6602,6.1457,5.9628,7.0778,6.0262,5.9314,6.0703,3.5052,5.8382
5.4518,5.3364,6.3262,5.8049,6.3425,6.4999,5.8985,5.4946,6.4042,5.0666,5.3364
4.1489,5.9784,6.0456,4.8142,6.5326,5.4986,4.6565,4.9147,5.1161,2.8421,5.9784
5.9642,6.0312,6.3048,5.8834,6.6799,7.0178,7.0406,5.5874,6.6924,4.6447,6.0312
5.472,5.8762,6.4973,6.3166,6.6235,6.923,6.8686,6.1565,6.606,5.7665,5.8762
5.4634,6.4942,6.7546,6.1354,6.5947,6.4505,6.4135,6.1685,6.4114,5.3333,6.4942
5.0938,5.8975,6.7402,5.9078,6.6324,6.5952,5.8387,6.0012,6.1598,3.8498,5.8975
5.6467,6.3098,5.8493,6.3343,5.8186,5.7079,6.0137,6.2606,6.1481,4.9978,6.3098
6.061,6.4562,5.4257,6.4807,5.676,6.144,6.2158,6.3403,6.6307,5.6537,6.4562
5.8541,6.1246,5.9465,6.5167,6.0816,6.5885,6.7414,6.4198,7.2422,5.569,6.1246
5.3688,5.5673,6.5203,6.7486,6.5698,7.3282,7.3858,6.9384,7.579,5.9016,5.5673
5.6611,6.5045,6.9559,6.8251,6.869,7.1357,7.4414,7.0032,7.4964,6.1049,6.5045
5.5226,6.5796,6.846,6.9816,6.8107,7.343,7.5737,6.9792,7.7309,5.9849,6.5796
6.011,6.6667,7.1746,6.9194,6.9718,7.4088,7.6008,6.959,7.5816,5.9942,6.6667
6.4942,6.6108,6.9473,7.0884,6.7406,7.3265,7.3966,7.0416,7.7155,6.2177,6.6108
5.8579,5.8097,6.7663,7.1213,7.0824,7.4618,7.6298,7.2118,7.7986,6.1625,5.8097
4.4988,4.0526,6.191,7.2648,7.0325,7.3858,7.5986,7.1714,7.7556,6.2342,4.0526
5.6467,6.0782,7.0423,7.5362,7.0663,7.4575,7.6642,7.3207,7.9368,6.3079,6.0782
5.3618,6.2746,6.7937,7.2958,7.021,7.4326,7.6106,7.1539,7.6606,6.629,6.2746
5.1648,6.6953,6.6226,7.5646,6.7471,7.3661,7.4633,7.141,7.6951,6.4942,6.6953
6.6192,7.1491,5.6652,5.9297,6.6612,7.0886,7.2739,6.9266,7.5161,6.2242,7.1491
6.0715,6.569,4.8226,6.624,5.9945,6.5779,6.5167,6.858,7.5727,5.7797,6.569
6.8119,6.3835,5.6054,5.9297,6.3946,6.1464,7.0416,6.9694,7.6332,5.4787,6.3835
6.9634,6.4267,4.9378,6.2628,4.4662,6.2758,7.0726,6.959,7.4734,5.2008,6.4267
4.14,6.0113,3.9245,6.8707,4.5338,5.1578,7.0406,6.935,7.0625,5.7125,6.0113
5.5889,6.8686,7.1419,6.407,6.8006,7.0627,6.9094,6.9682,7.4078,4.3867,6.8686
5.675,6.691,7.1297,6.9749,6.7651,6.5798,7.1736,6.8964,7.4616,5.8666,6.691
3.3809,6.3672,7.4174,5.6158,6.9811,6.7478,7.0219,6.0629,6.6466,4.2814,6.3672
5.4163,5.0083,7.271,7.171,7.5223,7.8905,7.2041,6.8796,6.3818,4.4563,5.0083
6.8146,7.1606,7.5583,6.7901,7.6853,7.9133,7.4388,6.919,6.9307,5.6196,7.1606
6.9072,6.9132,7.5396,6.5134,7.4851,6.8016,6.4728,6.2292,6.7265,6.294,6.9132
6.7003,7.1549,7.5653,6.4006,7.7942,6.9528,6.4061,6.12,5.9609,4.9013,7.1549
7.3145,7.597,7.4894,6.8263,7.5602,7.2739,6.9473,6.7078,6.359,5.8006,7.597
7.2943,7.625,7.1378,6.9365,7.1933,6.9965,6.3701,6.989,7.2094,5.8562,7.625
6.9151,7.542,6.2352,7.0879,6.7702,6.3331,7.093,6.6502,7.1885,6.2916,7.542
6.9871,6.4464,5.1782,7.0949,6.0653,6.1462,6.9156,6.372,7.2708,6.4666,6.4464
5.16,6.036,3.2518,5.5524,6.4934,6.7637,6.8069,6.9305,7.3003,6.5566,6.036
6.2314,6.9996,6.4397,4.7969,7.0913,6.4097,6.8938,6.9888,7.3111,4.4071,6.9996
6.4114,7.3536,6.7502,5.5709,7.2624,7.1746,6.9185,7.3236,7.572,6.0154,7.3536
6.6586,7.5242,6.9274,6.0763,7.0603,7.3985,7.4388,7.267,7.6944,5.994,7.5242
5.1802,6.5268,5.0462,5.915,6.8234,7.1364,6.7949,7.1258,7.8941,5.2819,6.5268
7.2576,7.5643,6.9876,4.4498,6.3293,6.6238,6.5268,7.1894,7.3102,2.5198,7.5643
7.3325,7.073,7.5823,6.4958,6.9672,6.6708,6.6588,6.84,6.805,5.4511,7.073
6.0043,6.8081,5.9285,6.4286,6.839,6.2621,6.3715,6.5808,7.3582,6.239,6.8081
5.8752,6.7973,7.0337,5.749,7.1388,7.0718,6.9698,7.0603,7.0243,4.6666,6.7973
7.3303,7.8144,7.291,4.5818,7.1686,7.1784,7.4585,7.2643,7.4753,1.8958,7.8144
6.7987,7.7074,7.7314,6.8273,7.0318,5.8181,6.7027,6.9449,7.0889,6.131,7.7074
6.8758,7.8154,7.9546,5.1528,7.5346,3.3413,6.4843,6.775,6.8729,6.1483,7.8154
5.4286,7.4729,7.663,5.7912,7.4482,3.029,6.6958,7.0342,6.9314,3.3775,7.4729
6.8016,7.8874,7.2497,7.5938,7.2494,7.0997,7.0382,7.099,7.2583,6.4488,7.8874
7.2072,7.7933,8.1103,7.4486,7.8271,7.9512,7.2492,6.5004,7.0308,5.0916,7.7933
7.74,7.7299,7.6214,7.5622,7.853,7.711,6.1922,7.1818,6.259,6.6617,7.7299
7.7112,7.8,7.7566,7.2036,7.613,7.2516,6.781,7.1724,7.1429,6.7858,7.8
6.8803,7.0022,7.734,7.0918,7.5103,7.9224,7.4614,6.9902,7.3066,5.7468,7.0022
6.0674,7.5869,7.3874,6.6271,7.3426,8.1221,7.267,6.911,6.4558,5.2776,7.5869
7.9678,7.9788,8.4245,6.9413,7.7933,7.0282,5.9342,7.2761,6.7702,1.8929,7.9788
8.2044,8.2051,7.3819,6.1932,7.6771,6.9626,7.1362,7.3138,7.5242,3.0427,8.2051
8.2932,7.9774,6.5909,6.7824,7.3462,6.9475,7.1885,7.2062,7.1998,6.4433,7.9774
6.4066,7.944,6.8398,5.9479,7.4237,7.0985,6.5052,7.175,7.2689,6.678,7.944
7.3829,8.2063,7.8065,7.0997,7.5022,7.5725,7.2754,6.989,7.206,4.7328,8.2063
7.4345,7.2722,7.4244,7.439,7.1539,7.0075,7.3442,6.8364,6.8537,5.3191,7.2722
7.2113,7.2578,6.6367,6.8275,7.3862,6.709,7.3558,7.3874,7.6978,5.1542,7.2578
6.9314,5.9273,6.5052,6.5201,7.1278,6.3766,6.5933,7.1455,7.2461,4.6939,5.9273
7.4196,5.7,5.339,6.3226,7.1364,5.4955,5.3971,6.079,6.9115,2.7773,5.7
7.6253,8.2855,7.4472,4.4503,7.284,6.9182,6.9917,7.1242,7.2348,3.1339,8.2855
7.7383,8.4106,8.2738,5.2224,7.4938,6.1613,6.8198,6.9216,6.7673,5.4187,8.4106
7.8852,8.4149,8.0438,5.718,7.9006,7.0598,6.5071,6.2378,6.8016,6.233,8.4149
8.2642,8.4394,7.8763,6.7985,8.2423,7.7198,7.0884,6.2916,6.8066,6.6962,8.4394
8.0345,8.5831,7.5324,6.9768,8.2831,8.4521,7.7244,6.444,7.3142,6.7901,8.5831
8.2152,8.4643,8.0542,7.7426,8.2793,8.6767,8.3969,7.6075,7.8036,7.1285,8.4643
7.5686,8.059,8.0522,7.6786,8.0779,8.4746,8.0227,7.7506,7.7784,5.8366,8.059
7.212,7.4088,8.0501,7.5048,7.883,7.3894,6.9038,7.379,7.3015,7.2182,7.4088
6.1025,6.9614,7.8874,7.5706,7.9025,7.4345,6.5162,7.3277,6.9202,6.8141,6.9614
6.7838,7.7554,7.92,7.4707,7.7813,6.7315,6.9038,7.3375,7.2552,6.5448,7.7554
7.4033,8.3678,7.3409,7.5919,7.3342,6.2669,6.5623,7.429,7.3622,6.6545,8.3678
7.2151,8.3702,7.4018,7.4839,7.7114,7.2936,6.8431,7.3531,7.2206,6.8066,8.3702
7.1767,8.4629,8.0542,6.0713,7.5794,7.2108,5.8291,7.087,6.5803,5.5253,8.4629
7.1993,8.5654,8.341,6.8513,8.2279,7.6956,6.9175,7.0889,6.7085,5.993,8.5654
7.7234,8.0923,8.2678,7.5828,8.0237,7.8199,6.839,6.9312,6.5674,3.959,8.0923
7.0795,7.6241,7.613,7.0894,7.7746,8.0587,7.5655,6.713,7.398,6.5844,7.6241
6.1529,7.6022,7.7242,7.8713,7.3649,7.3853,7.1974,6.851,7.1374,7.2761,7.6022
6.846,7.2998,7.201,8.0928,7.1184,7.603,7.5538,6.7414,7.5787,6.6643,7.2998
7.2187,8.3213,7.4309,7.8463,7.3975,7.8034,7.7527,6.966,7.7006,7.1806,8.3213
8.4214,8.3206,7.8235,7.9598,7.4587,7.931,7.9183,6.9907,7.6954,6.4622,8.3206
8.1074,8.4074,7.757,7.734,7.7412,7.991,8.117,7.1282,8.0846,6.7128,8.4074
7.3373,8.2795,8.0261,8.0664,7.8019,7.854,7.8353,6.8162,8.0321,7.0471,8.2795
8.5361,8.4689,7.8446,7.9817,7.5154,7.727,7.7606,7.0488,8.0664,6.8597,8.4689
8.046,8.4194,7.0927,7.0428,7.4472,7.3877,7.5619,6.8873,7.9464,6.4049,8.4194
7.9442,8.3664,7.411,7.3766,7.433,7.3236,7.1832,6.8549,7.4786,6.7032,8.3664
7.6558,7.991,7.0291,7.1134,6.7044,7.2941,7.2881,6.6593,7.4249,7.1774,7.991
7.5782,7.0198,6.8635,7.4426,7.0337,7.361,7.1998,6.7956,7.5187,7.3558,7.0198
7.8691,8.689,7.3476,7.3949,7.0198,7.3001,7.4947,6.8746,7.7323,7.4294,8.689
8.3578,8.489,7.6615,7.6966,7.2751,6.9348,7.5382,6.7975,8.0071,6.8083,8.489
8.1271,8.6078,7.9478,7.615,7.4412,7.3925,7.7407,7.1042,8.1094,6.5714,8.6078
8.0158,8.5387,8.0458,7.6596,7.5581,7.3039,7.8754,7.3061,8.0592,6.756,8.5387
7.8535,8.1574,8.1528,7.8566,7.6306,6.9514,7.4352,6.9876,7.8756,7.404,8.1574
8.009,8.5548,8.1792,8.1178,7.8295,7.6716,6.8904,6.8525,7.2576,7.3812,8.5548
7.8012,8.371,8.1341,8.2001,7.7174,7.2583,6.7214,6.546,7.597,7.026,8.371
8.3482,8.6609,8.0354,8.0813,7.7184,7.3879,7.199,6.936,7.7659,7.603,8.6609
7.9894,8.5889,8.2646,8.1689,7.7621,7.2442,6.9984,6.6775,7.7342,7.4846,8.5889
8.2536,8.2786,8.3753,8.0158,8.0556,7.6428,7.0039,6.9077,7.4822,7.0716,8.2786
7.5235,8.0779,7.7246,7.2554,8.0117,7.5202,7.2288,6.6439,7.2302,5.4274,8.0779
8.2166,8.4247,7.71,7.7906,7.4738,5.8548,5.7682,6.4877,6.9754,7.4827,8.4247
8.2397,8.8661,7.7957,6.9998,6.7092,5.3191,5.9311,6.0384,7.4438,7.1196,8.8661
8.4708,8.6808,8.004,7.5355,7.2485,6.3475,6.1949,6.3593,7.758,7.171,8.6808
8.0386,8.3477,7.5494,7.1458,7.3627,7.1611,6.3581,6.2076,7.7657,7.2319,8.3477
8.2018,8.5586,7.6094,8.1446,7.2221,6.6362,7.1335,7.0063,8.0376,6.8772,8.5586
7.8432,8.1888,7.4546,7.9526,7.2552,7.3234,6.7553,6.8592,7.1246,7.2187,8.1888
7.2979,8.1475,7.2218,8.3446,7.0726,6.5628,7.0992,6.5964,7.8804,7.2804,8.1475
8.327,8.3978,7.4014,8.0964,7.3754,7.1179,7.541,6.7646,7.9858,7.4789,8.3978
8.3045,8.5649,7.3294,7.7146,7.3195,6.6926,6.9245,6.7668,8.0921,6.7078,8.5649
8.5498,8.6256,7.8348,7.7729,7.5235,7.225,7.158,6.743,8.0695,6.775,8.6256
8.4509,8.6815,7.4702,7.5288,6.9293,6.4814,6.4205,6.9722,7.5432,6.5904,8.6815
8.3705,8.4535,8.2303,7.949,7.3368,6.8849,7.3157,6.7294,7.7844,6.5568,8.4535
8.5378,8.2985,8.3297,7.6618,7.8485,7.0339,6.7747,6.8537,7.493,6.7529,8.2985
8.772,8.4494,7.9982,7.981,7.2305,6.6929,6.5124,6.5741,6.9984,6.7704,8.4494
8.2927,8.6911,8.0786,8.4576,7.7057,7.2074,7.4381,6.851,7.5854,7.5365,8.6911
8.1977,8.3774,8.2865,7.9781,7.8,7.3829,7.0198,6.6749,7.7412,6.2635,8.3774
8.5291,8.73,8.28,7.829,7.8346,7.5396,7.051,6.6802,7.6536,6.2726,8.73
8.5327,8.7943,8.3633,7.957,7.8941,7.6498,7.2286,6.4078,7.3922,7.1455,8.7943
8.5315,8.7019,8.6748,8.0467,8.1823,7.8998,7.5422,6.3936,7.477,6.4723,8.7019
8.669,8.7984,8.3813,8.376,8.2058,7.9354,7.0061,6.2011,7.2214,6.8117,8.7984
8.5706,8.7029,8.3314,8.5224,7.5415,7.1388,6.6715,6.1776,7.6147,6.8988,8.7029
8.557,8.5154,8.4228,7.6378,8.136,8.046,7.7902,6.8184,7.8893,6.5172,8.5154
8.526,8.6794,8.2094,8.0779,7.7424,7.7618,7.3358,6.6679,7.2806,6.54,8.6794
8.5627,8.7062,8.0292,8.1862,7.711,7.2634,6.8777,5.8862,6.4783,7.2034,8.7062
8.5846,8.5522,8.0726,8.2267,7.686,6.6487,6.6912,6.0802,6.8671,7.1986,8.5522
8.3177,8.3342,8.0129,8.0904,7.745,7.2072,6.185,6.0588,7.542,7.2718,8.3342
8.4487,8.2699,7.8802,7.957,7.4292,6.9425,6.9293,5.4204,7.422,7.2242,8.2699
8.1398,8.2406,7.8238,7.9937,7.4561,7.0586,7.5389,6.4466,7.7786,7.0704,8.2406
8.3206,8.1922,7.6358,7.6519,6.6847,6.4728,5.465,6.1692,6.8954,7.1095,8.1922
8.2572,8.0306,7.2876,7.9205,6.5294,6.3718,6.7366,5.8764,7.3008,6.8455,8.0306
8.3261,7.9565,7.7294,7.3416,7.1057,7.2223,6.7058,4.5331,6.5674,6.3821,7.9565
8.0597,7.9018,7.0994,7.8038,6.5242,5.2711,4.7117,5.0542,6.1819,6.6725,7.9018
7.9942,8.0798,7.1182,7.529,6.2006,5.3674,3.8402,3.0538,5.4984,6.7118,8.0798
7.685,7.8079,6.9502,7.6608,6.8393,6.6545,6.913,6.7766,7.4136,6.8054,7.8079
8.214,7.7006,6.811,7.7059,6.877,6.7903,5.7768,6.6197,7.3421,6.6437,7.7006
7.925,7.9142,6.4862,7.3418,6.4637,5.8565,6.8969,6.3398,6.2645,6.5042,7.9142
8.3758,7.8108,6.6542,7.6433,6.1262,6.0955,6.9818,6.5933,7.8132,6.6967,7.8108
7.9898,6.8484,6.3768,7.5641,6.708,6.4126,5.9674,6.611,6.5335,6.9665,6.8484
7.7688,6.6636,5.8831,7.6034,5.8214,6.2455,6.5479,5.8517,6.3442,6.4538,6.6636
7.9896,8.0398,6.7951,7.3301,5.88,5.3508,5.724,5.1372,5.7782,6.3187,8.0398
8.1802,8.1386,6.9079,7.5542,6.6218,5.6822,5.1811,4.5096,5.143,6.3106,8.1386
7.9577,8.3753,7.41,7.6162,7.044,6.3202,5.3681,5.3352,6.5866,6.3444,8.3753
7.6123,8.4862,7.6978,7.205,7.1585,7.1028,6.9372,5.863,6.8237,6.3209,8.4862
8.2409,8.1528,7.7561,7.1933,7.397,6.9595,5.8987,5.4283,6.096,6.0886,8.1528
8.0333,8.2721,7.6082,7.7323,7.021,7.2694,6.5496,5.4158,6.4135,6.3418,8.2721
8.0369,8.1905,7.6114,8.0278,7.1431,6.6809,6.8647,5.8142,7.1573,7.3207,8.1905
8.0398,8.1756,7.7294,7.7837,7.266,7.3874,6.7942,5.3863,6.9792,7.2156,8.1756
7.9615,7.9951,8.0388,8.016,7.2552,7.4731,7.2283,5.9671,6.7788,6.9449,7.9951
7.7254,8.3746,7.6068,7.6625,7.7546,7.5614,6.1802,5.3383,6.823,6.4373,8.3746
6.3142,8.3309,7.548,7.7561,7.4532,6.7783,6.5172,6.017,6.9535,6.3259,8.3309
7.1417,8.2231,7.6565,7.5984,7.3303,6.6838,4.963,5.2061,5.3954,5.5169,8.2231
6.5743,7.7837,7.5977,7.7462,6.9065,6.599,5.8147,6.6389,6.4687,6.1574,7.7837
7.2238,7.0171,7.4935,7.6505,7.0877,6.5491,6.4762,6.3648,7.4918,6.2532,7.0171
7.8686,7.477,7.147,6.5676,7.3963,7.2449,6.0312,6.0228,6.659,5.8711,7.477
7.8871,7.1551,6.3266,6.1687,6.6005,6.2796,6.3509,5.6119,6.0254,6.1265,7.1551
7.4789,7.1827,6.3809,6.1685,6.4212,5.9599,6.2347,6.2189,6.1106,5.9585,7.1827
7.7868,7.7258,7.6889,7.3258,6.9737,6.763,6.3698,5.1115,4.7846,5.7485,7.7258
7.2828,8.095,7.7873,7.1729,7.463,7.1477,7.3423,6.2837,7.0853,6.2458,8.095
6.7776,7.8163,6.9526,7.2624,6.9802,6.7586,6.3463,6.3586,6.9007,5.9707,7.8163
6.8758,7.5314,6.2575,5.4691,6.9883,6.72,5.9878,6.349,6.7798,6.7193,7.5314
7.2151,7.3342,6.474,7.3142,7.1268,5.0462,5.1818,5.8958,6.9228,6.6984,7.3342
7.4018,7.3476,5.6177,7.0058,5.3412,6.1301,5.8159,6.1925,6.5131,6.2971,7.3476
7.098,7.5036,6.6622,7.2192,6.0074,6.1493,6.1356,4.5499,5.8937,6.5988,7.5036
6.9576,7.2929,6.1798,7.0409,6.1906,6.0211,5.6465,5.7379,6.1819,6.7846,7.2929
7.4863,7.1719,6.0655,7.2886,7.0459,6.5494,5.7725,5.7403,7.3627,6.917,7.1719
7.2434,7.2989,5.8404,7.1069,7.0877,6.5916,6.6089,5.4641,5.9383,6.9055,7.2989
7.6934,7.4263,6.863,6.8957,6.895,6.4193,6.9214,6.5578,7.7758,6.4514,7.4263
7.434,7.5715,6.9132,7.3819,6.5695,6.3324,6.0646,6.3062,6.893,6.5717,7.5715
7.6224,7.4827,6.5801,7.8235,6.78,5.9527,6.5203,6.1116,7.0536,6.3276,7.4827
7.5156,7.2346,6.5798,6.7747,6.9158,7.087,7.1047,6.1349,7.1095,6.456,7.2346
7.4844,7.2122,7.3759,6.7169,7.0356,7.2545,6.8074,5.9261,6.7675,6.3648,7.2122
7.577,7.1474,6.9384,6.9504,6.5938,5.6798,5.4283,5.8651,6.5995,6.2993,7.1474
7.4304,7.1345,7.1239,7.3574,6.6091,5.5884,6.0235,6.1802,6.743,6.3607,7.1345
7.4959,7.1602,7.4064,7.2516,7.0697,6.9835,7.2526,5.9088,7.433,6.4075,7.1602
7.2264,7.3774,7.2413,7.3169,7.1784,7.3745,6.7224,5.9666,6.8854,6.427,7.3774
7.4035,7.3205,6.7896,7.3368,6.7958,6.858,5.825,6.1699,6.4298,6.3324,7.3205
7.2444,7.3982,7.1086,7.1443,6.7454,5.6717,5.8603,6.059,7.1609,6.097,7.3982
7.2286,7.2994,6.8009,7.3644,6.4966,6.0012,5.8056,5.7876,6.8794,6.263,7.2994
7.2187,7.3846,7.039,7.2034,6.8362,6.0593,5.5922,5.652,6.5275,6.0953,7.3846
7.225,7.4866,6.8345,7.344,6.8657,5.9302,6.4133,5.9575,7.2682,5.9966,7.4866
7.2982,7.4371,7.0286,6.2518,6.4766,6.2122,5.5606,5.754,6.7824,5.9827,7.4371
7.1386,7.3668,7.0802,6.5486,6.8194,6.4459,6.5184,6.4282,7.2305,5.7593,7.3668
7.2595,7.5038,7.1414,6.7402,6.6502,6.1534,6.7106,6.5544,7.3015,6.2851,7.5038
7.1333,7.6421,7.1213,7.1616,6.9194,6.1978,5.8716,6.1272,6.5621,6.3331,7.6421
7.1465,7.7035,7.3306,7.2024,7.1702,6.5803,6.019,5.4674,6.5532,6.2796,7.7035
6.8412,7.584,7.3373,6.9007,7.2384,6.8995,6.2899,5.909,6.4987,6.3631,7.584
7.0716,7.3291,7.0579,7.3025,6.9751,6.5539,5.8318,6.2422,6.9989,5.9522,7.3291
6.8712,7.4083,7.0169,6.9262,6.791,6.7843,6.9173,6.5592,7.5658,6.1344,7.4083
7.0483,7.2391,6.3557,6.7982,6.6209,6.1399,6.689,6.3634,6.6518,6.1469,7.2391
6.8314,7.32,6.7505,6.81,6.3852,6.5186,7.1532,6.2422,6.2585,6.2734,7.32
6.492,7.2499,6.8635,7.0296,6.4361,5.7986,5.9321,6.2465,6.5964,6.3662,7.2499
6.5333,7.122,6.9002,7.3063,6.834,6.6149,6.043,6.281,6.6022,6.397,7.122
6.6967,7.1112,6.7488,7.2607,6.551,6.9946,7.0618,6.563,7.302,6.1699,7.1112
6.8395,7.0694,6.7351,6.9288,6.5657,7.1424,7.3181,6.665,7.475,5.964,7.0694
6.871,7.1239,6.9199,6.678,6.7632,7.0085,6.9274,6.4358,7.1626,6.1452,7.1239
6.7183,6.9209,6.3785,7.1251,6.3466,6.4759,6.7507,6.2885,7.0968,6.1505,6.9209
6.5434,6.7949,6.5395,7.0694,6.5266,7.128,6.9072,6.365,7.1878,6.12,6.7949
6.4166,7.0006,6.3353,7.1198,6.8268,6.9989,5.9606,6.1104,6.6641,6.3787,7.0006
6.3173,6.9523,6.6912,7.0306,6.8069,6.7798,6.4457,5.6585,7.1306,6.2609,6.9523
6.2578,6.785,6.6598,6.6794,6.5489,6.8314,7.0514,6.4082,7.2286,6.0343,6.785
